wo_start_date,wo_finish_date,OrderNo,Order_Info,location_id,is_failure,cause_code,component_type
2021-02-23T00:00:00.000+0000,2021-02-25T00:00:00.000+0000,61119622,ZCS7: 4200 : Gearoilpump/blower superheated,Turbine 2,1,null,null
2021-02-23T00:00:00.000+0000,2021-02-23T00:00:00.000+0000,61119839,ZCS7: Gen 2 Delta Leaking - Replaced,Turbine 13,1,null,null
2021-02-23T00:00:00.000+0000,2021-02-23T00:00:00.000+0000,61119839,ZCS7: Gen 2 Delta Leaking - Replaced,Turbine 13,1,null,Converter No subsystem (Converter)
2021-02-25T00:00:00.000+0000,2021-02-25T00:00:00.000+0000,61119870,ZCS7: Gear oil pump - Replaced,Turbine 14,1,null,null
2021-02-25T00:00:00.000+0000,2021-02-25T00:00:00.000+0000,61120868,ZCS7: 13207 : Grid filter current overload,Turbine 17,1,null,null
2021-02-25T00:00:00.000+0000,2021-02-25T00:00:00.000+0000,61122219,ZCS7: 1003 : Emergency switch activated,Turbine 2,1,null,null
2021-02-25T00:00:00.000+0000,2021-02-28T00:00:00.000+0000,61123379,ZCS7: 4112 : Gearoil level too low,Turbine 9,1,null,null
2021-02-25T00:00:00.000+0000,2021-02-26T00:00:00.000+0000,61123439,ZCS7: Converter coolant hose - repaired,Turbine 10,1,null,null
2021-12-15T00:00:00.000+0000,2021-12-15T00:00:00.000+0000,61123439,ZCS7: Converter coolant hose - repaired,Turbine 10,1,null,Converter Cooling system
2021-12-15T00:00:00.000+0000,2021-12-15T00:00:00.000+0000,61123598,ZCS7: 109/119 Valves,Turbine 4,1,null,null
2021-11-18T00:00:00.000+0000,2021-11-18T00:00:00.000+0000,61123598,ZCS7: 109/119 Valves,Turbine 4,1,null,Pitch Pitch system Blade A
2021-11-05T00:00:00.000+0000,2021-12-12T00:00:00.000+0000,61124756,ZCS7: 4200 : Gearoilpump/blower superheated,Turbine 2,1,null,null
2021-11-29T00:00:00.000+0000,2021-12-12T00:00:00.000+0000,61124968,ZCS7: 15229 : GrdInv: 229 DSP comms failure,Turbine 2,1,null,null
2021-11-20T00:00:00.000+0000,2021-11-21T00:00:00.000+0000,61124976,ZCS7: low coolant pressure,Turbine 10,1,null,null
2021-11-28T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,61124976,ZCS7: low coolant pressure,Turbine 10,1,null,Converter Cooling system
2021-11-20T00:00:00.000+0000,2021-11-22T00:00:00.000+0000,61125157,ZCS7: 4101 : Gear oil temperature warning,Turbine 3,1,null,null
2021-11-01T00:00:00.000+0000,2021-11-07T00:00:00.000+0000,61125962,ZCS7: low pressure / leaks,Turbine 10,1,null,null
2021-11-08T00:00:00.000+0000,2021-11-28T00:00:00.000+0000,61125962,ZCS7: low pressure / leaks,Turbine 10,1,null,Converter Cooling system
2021-11-12T00:00:00.000+0000,2021-11-12T00:00:00.000+0000,61126118,ZCS7: 63016 : Smoke in the inverter,Turbine 17,1,null,null
2022-01-31T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,61126303,ZCS7: Gearbox pressure transducer - replaced,Turbine 10,1,null,null
2021-11-16T00:00:00.000+0000,2021-11-16T00:00:00.000+0000,61126306,ZCS7: Gear oil blower motor - replaced,Turbine 15,1,null,null
2021-11-18T00:00:00.000+0000,2021-11-18T00:00:00.000+0000,61126306,ZCS7: Gear oil blower motor - replaced,Turbine 15,1,null,Transmission Cooling system
2021-11-05T00:00:00.000+0000,2021-11-05T00:00:00.000+0000,61126808,ZCS7: 3236 : HubCheck valve fail - Stopped,Turbine 17,1,null,null
2021-11-18T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61127127,ZCS7: 63002 : Backup battery error,Turbine 17,1,null,null
2021-11-01T00:00:00.000+0000,2021-11-03T00:00:00.000+0000,61131143,ZCS7: 4111 : Gear oil pressure too high/low,Turbine 18,1,null,null
2021-11-01T00:00:00.000+0000,2021-11-02T00:00:00.000+0000,61131867,ZCS7: low coolant,Turbine 1,1,null,null
2021-11-12T00:00:00.000+0000,2021-11-12T00:00:00.000+0000,61131867,ZCS7: low coolant,Turbine 1,1,null,Converter Cooling system
2021-11-03T00:00:00.000+0000,2021-11-04T00:00:00.000+0000,61131922,ZCS7: Vienna T15 gearbox exchange,Turbine 18,1,null,null
2021-11-03T00:00:00.000+0000,2021-11-03T00:00:00.000+0000,61132123,ZCS7: Gear oil temp,Turbine 1,1,null,null
2021-11-05T00:00:00.000+0000,2021-11-05T00:00:00.000+0000,61133427,ZCS7: Hub Pressure Switch,Turbine 4,1,null,null
2021-11-29T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,61133427,ZCS7: Hub Pressure Switch,Turbine 4,1,null,Pitch Pitch system Blade B
2021-11-19T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61133552,ZCS7: Gear oil pump assembly - replaced,Turbine 12,1,null,null
2021-11-08T00:00:00.000+0000,2021-12-10T00:00:00.000+0000,61133803,ZCS7: Gear oil pump/blower superheated,Turbine 8,1,null,null
2021-11-08T00:00:00.000+0000,2021-12-10T00:00:00.000+0000,61133803,ZCS7: Gear oil pump/blower superheated,Turbine 8,1,null,Transmission Cooling system
2021-11-09T00:00:00.000+0000,2021-11-09T00:00:00.000+0000,61137197,ZCS7: 4304 : Offline filter stopped,Turbine 19,1,null,null
2021-11-09T00:00:00.000+0000,2021-11-09T00:00:00.000+0000,61140889,ZCS7: low coolant,Turbine 10,1,null,Converter Cooling system
